date_updated,state,start_date,end_date,tot_cases,new_cases,tot_deaths,new_deaths,new_historic_cases,new_historic_deaths
08/18/2022,SD,8/11/22,08/17/2022,254670,1438,2979,6,0,0
08/18/2022,WV,8/11/22,08/17/2022,571075,5678,7223,23,0,0
08/18/2022,NYC,8/11/22,08/17/2022,2785488,19662,41380,102,0,0
08/18/2022,WA,8/11/22,08/17/2022,1768805,10275,13603,93,0,0
08/18/2022,NM,8/11/22,08/17/2022,604185,4428,8334,31,0,0
08/18/2022,KS,8/11/22,08/17/2022,853688,5421,8952,7,0,0
08/18/2022,AL,8/11/22,08/17/2022,1449812,13354,20026,52,0,0
08/18/2022,DE,8/11/22,08/17/2022,299673,1957,3084,2,0,0
08/19/2021,ME,8/12/21,08/18/2021,73271,1152,921,18,0,0
08/19/2021,NY,8/12/21,08/18/2021,1207695,16340,20140,81,0,0
08/19/2021,MD,8/12/21,08/18/2021,482581,6511,9907,37,0,0
08/19/2021,MP,8/12/21,08/18/2021,220,10,2,0,0,0
08/19/2021,RMI,8/12/21,08/18/2021,4,0,0,0,0,0
06/30/2022,AK,06/23/2022,06/29/2022,262585,2766,1270,0,0,0
08/19/2021,AR,8/12/21,08/18/2021,431371,15562,7509,239,0,0
08/19/2021,MA,8/12/21,08/18/2021,740626,8805,18164,43,0,0
08/19/2021,GU,8/12/21,08/18/2021,9200,335,144,1,0,0
08/19/2021,IA,8/12/21,08/18/2021,392970,5697,6226,16,0,0
08/19/2021,TX,8/12/21,08/18/2021,3363278,107777,54719,823,0,0
08/19/2021,PA,8/12/21,08/18/2021,1272171,14959,28050,89,0,0
08/19/2021,ND,8/12/21,08/18/2021,113923,1180,1550,6,0,0
08/19/2021,FL,8/12/21,08/18/2021,2978433,171620,41138,967,0,0
08/19/2021,PW,8/12/21,08/18/2021,2,0,0,0,0,0
08/19/2021,OH,8/12/21,08/18/2021,1168111,18793,20996,157,0,0
08/19/2021,AZ,8/12/21,08/18/2021,972925,20128,18504,98,0,0
08/19/2021,DC,8/12/21,08/18/2021,53024,1171,1153,4,0,0
08/19/2021,WI,8/12/21,08/18/2021,710973,9864,8352,39,0,0
08/19/2021,MT,8/12/21,08/18/2021,121381,2258,1749,24,0,0
08/19/2021,NC,8/12/21,08/18/2021,1135417,38426,14382,280,0,0
08/19/2021,NH,8/12/21,08/18/2021,103989,1636,1396,3,0,0
08/19/2021,NJ,8/12/21,08/18/2021,1065736,12338,26721,58,0,0
08/19/2021,SC,8/12/21,08/18/2021,673172,24664,10141,134,0,0
08/19/2021,VA,8/12/21,08/18/2021,728524,15329,11627,51,0,0
08/19/2021,FSM,8/12/21,08/18/2021,7,0,0,0,0,0
08/19/2021,KY,8/12/21,08/18/2021,531948,23725,7457,66,0,0
08/19/2021,WY,8/12/21,08/18/2021,69844,2261,809,16,0,0
08/19/2021,OR,8/12/21,08/18/2021,247866,13473,2972,54,0,0
08/19/2021,MN,8/12/21,08/18/2021,630133,8295,7913,62,0,0
08/19/2021,LA,8/12/21,08/18/2021,638443,36502,11790,383,0,0
08/19/2021,NV,8/12/21,08/18/2021,376065,7451,6248,152,0,0
08/19/2021,MI,8/12/21,08/18/2021,1035824,10820,21350,99,0,0
08/19/2021,ID,8/12/21,08/18/2021,211533,5010,2280,45,0,0
08/19/2021,NE,8/12/21,08/18/2021,232740,3335,2888,36,0,0
08/19/2021,RI,8/12/21,08/18/2021,150374,1738,2738,4,0,0
08/19/2021,CA,8/12/21,08/18/2021,4250874,94842,64290,315,0,0
08/19/2021,CT,8/12/21,08/18/2021,364891,4339,8308,11,0,0
08/19/2021,NYC,8/12/21,08/18/2021,1010274,14280,33658,60,0,0
08/19/2021,DE,8/12/21,08/18/2021,113741,2001,1888,9,0,0
08/19/2021,AS,8/12/21,08/18/2021,0,0,0,0,0,0
08/19/2021,SD,8/12/21,08/18/2021,127696,1239,2057,5,0,0
08/19/2021,IN,8/12/21,08/18/2021,809545,18619,14198,88,0,0
08/19/2021,PR,8/12/21,08/18/2021,159863,5306,2702,59,0,0
08/19/2021,WV,8/12/21,08/18/2021,175639,4443,2997,23,0,0
08/19/2021,VT,8/12/21,08/18/2021,26267,785,273,2,0,0
08/19/2021,TN,8/12/21,08/18/2021,969603,33382,13064,184,0,0
08/19/2021,MS,8/12/21,08/18/2021,396394,24682,7916,206,0,0
08/19/2021,MO,8/12/21,08/18/2021,736938,17909,10617,169,0,0
08/19/2021,NM,8/12/21,08/18/2021,221960,5466,4459,22,0,0
08/19/2021,GA,8/12/21,08/18/2021,1287667,49283,22101,208,0,0
08/19/2021,UT,8/12/21,08/18/2021,449248,7018,2546,30,0,0
08/19/2021,HI,8/12/21,08/18/2021,52065,4815,718,55,0,0
08/19/2021,VI,8/12/21,08/18/2021,5413,320,41,0,0,0
08/19/2021,CO,8/12/21,08/18/2021,593460,7884,7064,58,0,0
08/19/2021,AL,8/12/21,08/18/2021,645851,26099,11872,183,0,0
08/19/2021,WA,8/12/21,08/18/2021,523574,20696,5673,41,0,0
08/19/2021,KS,8/12/21,08/18/2021,352715,7434,5465,93,0,0
08/19/2021,IL,8/12/21,08/18/2021,1474285,23191,26183,136,0,0
08/19/2021,OK,8/12/21,08/18/2021,519023,15471,7674,82,0,0
08/20/2020,MA,08/13/2020,08/19/2020,117301,2149,8876,107,0,0
08/20/2020,HI,08/13/2020,08/19/2020,5512,1638,106,37,0,0
08/20/2020,IN,08/13/2020,08/19/2020,82335,5807,3124,103,0,0
08/20/2020,OK,08/13/2020,08/19/2020,49933,4532,699,72,0,0
08/20/2020,AS,08/13/2020,08/19/2020,0,0,0,0,0,0
08/20/2020,FL,08/13/2020,08/19/2020,584050,33149,9932,1167,0,0
08/20/2020,NY,08/13/2020,08/19/2020,196187,2213,8993,22,0,0
08/20/2020,AL,08/13/2020,08/19/2020,111696,7477,1942,63,0,0
08/20/2020,AR,08/13/2020,08/19/2020,56356,4216,1106,88,0,0
08/20/2020,WV,08/13/2020,08/19/2020,8800,783,166,13,0,0
08/20/2020,GU,08/13/2020,08/19/2020,599,150,5,0,0,0
08/20/2020,PR,08/13/2020,08/19/2020,12453,2284,356,61,0,0
7/7/22,AK,06/30/2022,7/6/22,264573,1988,1270,0,0,0
08/20/2020,NYC,08/13/2020,08/19/2020,233253,1909,23584,38,0,0
08/20/2020,NM,08/13/2020,08/19/2020,23747,930,729,34,0,0
08/20/2020,ND,08/13/2020,08/19/2020,8967,995,137,13,0,0
08/20/2020,UT,08/13/2020,08/19/2020,47567,2453,377,25,0,0
08/20/2020,WA,08/13/2020,08/19/2020,69363,4201,1123,39,0,0
08/20/2020,SD,08/13/2020,08/19/2020,10566,750,155,8,0,0
08/20/2020,VT,08/13/2020,08/19/2020,1516,57,63,0,0,0
08/20/2020,IL,08/13/2020,08/19/2020,213223,13305,8017,137,0,0
08/20/2020,IA,08/13/2020,08/19/2020,53559,3782,1010,57,0,0
08/20/2020,RI,08/13/2020,08/19/2020,19760,606,1059,17,0,0
08/20/2020,OR,08/13/2020,08/19/2020,23867,1849,408,33,0,0
08/20/2020,DC,08/13/2020,08/19/2020,13354,395,600,7,0,0
08/20/2020,NC,08/13/2020,08/19/2020,152479,10081,2690,196,0,0
08/20/2020,WI,08/13/2020,08/19/2020,67494,5224,1112,40,0,0
08/20/2020,WY,08/13/2020,08/19/2020,3406,328,34,5,0,0
08/20/2020,NV,08/13/2020,08/19/2020,63028,4980,1134,138,0,0
08/20/2020,LA,08/13/2020,08/19/2020,139900,5596,4608,253,0,0
08/20/2020,FSM,08/13/2020,08/19/2020,0,0,0,0,0,0
08/20/2020,CA,08/13/2020,08/19/2020,642733,53386,11301,812,0,0
08/20/2020,MT,08/13/2020,08/19/2020,5955,685,84,4,0,0
08/20/2020,NE,08/13/2020,08/19/2020,30150,1766,509,22,0,0
08/20/2020,SC,08/13/2020,08/19/2020,108413,5434,2358,215,0,0
